text,author,rating,created_at
I wish there were collaborative playlists with friends,june_b,5,2026-08-19T12:00:00+00:00
"Crashed during my morning run, completely broken today",listener42,1,2026-07-26T12:00:00+00:00
Loading times are terrible on cellular data,sofia_p,1,2026-08-05T12:00:00+00:00
Paying full price but half the features I actually want,lofi_lou,2,2026-09-03T12:00:00+00:00
Background battery drain even when I am not playing anything On Android 15.,lofi_lou,2,2026-09-13T12:00:00+00:00
Everything loads slowly after the latest update,lofi_lou,3,2026-09-09T12:00:00+00:00
"Too expensive for what you get, considering a cheaper rival On the latest iOS version.",maya_r,2,2026-07-27T12:00:00+00:00
Would love stats like my top artists each month,nina_k,3,2026-08-30T12:00:00+00:00
Force closes every time I tap on an artist page,ella_v,2,2026-07-23T12:00:00+00:00
My downloaded songs disappeared after the update,sofia_p,3,2026-08-17T12:00:00+00:00
Buffering constantly even on strong wifi,lofi_lou,3,2026-08-05T12:00:00+00:00
Downloads take forever and often fail halfway,omar_d,4,2026-07-21T12:00:00+00:00
The app just closes by itself in the middle of a song,nina_k,2,2026-08-11T12:00:00+00:00
Background battery drain even when I am not playing anything,ella_v,1,2026-08-21T12:00:00+00:00
Drain is so bad I have to carry a charger everywhere now,june_b,1,2026-09-13T12:00:00+00:00
Lost half my battery on a two hour listening session My friends have the same issue.,listener42,2,2026-09-03T12:00:00+00:00
"Add lyrics view, it is the one feature missing Really frustrating.",aria_m,3,2026-08-11T12:00:00+00:00
Force closes every time I tap on an artist page On the latest iOS version.,lofi_lou,2,2026-08-15T12:00:00+00:00
Customer service was unhelpful about my billing issue,priya_s,2,2026-08-07T12:00:00+00:00
"Add lyrics view, it is the one feature missing",trackfan,4,2026-07-25T12:00:00+00:00
The app just closes by itself in the middle of a song Hope the team sees this.,nina_k,2,2026-09-08T12:00:00+00:00
"Too expensive for what you get, considering a cheaper rival",tom_w,2,2026-07-22T12:00:00+00:00
My phone gets uncomfortably hot on long playlists,trackfan,2,2026-09-04T12:00:00+00:00
The redesign buried the features I use daily Started after the recent update.,ella_v,4,2026-09-04T12:00:00+00:00
"The price hike was not worth it, thinking of canceling On Android 15.",dj_ken,2,2026-08-14T12:00:00+00:00
The app lags badly when scrolling through playlists,aria_m,2,2026-08-12T12:00:00+00:00
Support never replied to my refund request,tom_w,3,2026-08-29T12:00:00+00:00
My phone overheats whenever I stream for a while Started after the recent update.,sofia_p,1,2026-09-13T12:00:00+00:00
"The price hike was not worth it, thinking of canceling Started after the recent update.",lofi_lou,3,2026-09-07T12:00:00+00:00
"The price hike was not worth it, thinking of canceling",maya_r,3,2026-08-03T12:00:00+00:00
"Songs take ages to start, endless buffering",omar_d,2,2026-07-24T12:00:00+00:00
Font is too small and the contrast is bad Please fix this soon.,trackfan,4,2026-08-25T12:00:00+00:00
"Drains 15 percent battery per hour, unacceptable Hope the team sees this.",dj_ken,1,2026-08-11T12:00:00+00:00
"Keeps freezing on the home screen, have to force close it",mixtape_max,2,2026-07-30T12:00:00+00:00
"Battery usage doubled this week, something is wrong",maya_r,2,2026-09-11T12:00:00+00:00
